siRNA,mRNA,efficacy
T350,EGFP,0.809
T351,EGFP,0.384
T352,EGFP,0.514
T353,EGFP,0.756
T354,EGFP,0.66
T355,EGFP,0.508
T356,EGFP,0.829
T357,EGFP,0.641
T358,EGFP,0.556
T359,EGFP,0.617
T360,EGFP,0.577
T361,EGFP,0.713
T362,EGFP,0.777
T363,EGFP,0.694
T364,EGFP,0.525
T365,EGFP,0.701
T366,EGFP,0.375
T367,EGFP,0.809
T368,EGFP,0.837
T369,EGFP,0.727
T370,EGFP,0.467
T371,EGFP,0.52
T372,EGFP,0.655
T373,EGFP,0.605
T374,EGFP,0.8
T375,EGFP,0.665
T376,EGFP,0.744
T377,EGFP,0.64
T378,EGFP,0.595
T379,EGFP,0.432
T380,EGFP,0.799
T381,EGFP,0.582
T382,EGFP,0.83
T383,EGFP,0.919
T384,EGFP,0.517
T385,EGFP,0.196
T386,EGFP,0.442
T387,EGFP,0.422
T388,EGFP,0.537
T389,EGFP,0.868
T390,EGFP,0.629
T391,EGFP,0.682
T392,EGFP,0.907
T393,EGFP,0.715
T394,EGFP,0.31
T395,EGFP,0.686
T396,EGFP,0.407
T397,EGFP,0.152
T398,EGFP,0.806
T399,EGFP,0.817
T400,EGFP,0.282
T401,EGFP,0.842
T402,EGFP,0.553
T403,EGFP,0.686
T404,EGFP,0.844
T405,EGFP,0.77
T406,EGFP,0.395
T407,EGFP,0.555
T408,EGFP,0.451
T409,EGFP,0.329
T410,EGFP,0.646
T411,EGFP,0.267
T412,EGFP,0.909
T413,EGFP,0.649
T414,EGFP,0.508
T415,EGFP,0.888
T416,EGFP,0.9
T417,EGFP,0.859
T418,EGFP,0.735
T419,EGFP,0.777
T420,EGFP,0.776
T421,EGFP,0.742
T422,EGFP,0.816
T423,EGFP,0.7
T424,EGFP,0.763
T425,EGFP,0.563
T426,EGFP,0.74
T427,EGFP,0.853
T428,EGFP,0.812
T429,EGFP,0.758
T430,EGFP,0.692
T431,EGFP,0.7
T432,EGFP,0.682
T433,EGFP,0.685
T434,EGFP,0.914
T435,EGFP,0.855
T436,EGFP,0.793
T437,EGFP,0.919
T438,EGFP,0.783
T439,EGFP,0.731
T440,EGFP,0.743
T441,EGFP,0.72
T442,EGFP,0.759
T443,EGFP,0.967
T444,EGFP,0.879
T445,EGFP,0.646
T446,EGFP,0.275
T447,EGFP,0.53
T448,EGFP,0.336
T449,EGFP,0.687
T450,EGFP,0.555
T451,EGFP,0.438
T452,EGFP,0.697
T453,EGFP,0.605
T454,EGFP,0.341
T455,EGFP,0.855
T456,EGFP,0.611
T457,EGFP,0.661
T458,EGFP,0.729
T459,EGFP,0.38
T460,EGFP,0.625
T461,EGFP,0.822
T462,EGFP,0.632
T463,EGFP,0.908
T464,EGFP,0.839
T465,EGFP,0.76
T466,EGFP,0.843
T467,EGFP,0.729
T468,EGFP,0.723
T469,EGFP,0.789
T470,EGFP,0.732
T471,EGFP,0.621
T472,EGFP,0.733
T473,EGFP,0.825
T474,EGFP,0.684
T475,EGFP,0.706
T476,EGFP,0.915
T477,EGFP,0.743
T478,EGFP,0.593
T479,EGFP,0.87
T480,EGFP,0.706
T481,EGFP,0.941
T482,EGFP,0.906
T483,EGFP,0.855
T484,EGFP,0.771
T485,EGFP,0.96
T486,EGFP,0.937
T487,EGFP,0.939
T488,EGFP,0.933
T489,EGFP,0.726
T490,EGFP,0.568
T491,EGFP,0.781
T492,EGFP,0.75
T493,EGFP,0.658
T494,EGFP,0.845
T495,EGFP,0.69
T496,EGFP,0.819
T497,EGFP,0.8
T498,EGFP,0.576
T499,EGFP,0.622
T500,EGFP,0.802
T501,EGFP,0.579
T502,EGFP,0.368
T503,EGFP,0.778
T504,EGFP,0.292
T505,EGFP,0.364
T506,EGFP,0.734
T507,EGFP,0.505
T508,EGFP,0.426
T509,EGFP,0.498
T510,EGFP,0.411
T511,EGFP,0.221
T512,EGFP,0.467
T513,EGFP,0.556
T514,EGFP,0.299
T515,EGFP,0.375
T516,EGFP,0.275
T517,EGFP,0.201
T518,EGFP,0.262
T519,EGFP,0.4
T520,EGFP,0.305
T521,EGFP,0.315
T522,EGFP,0.279
T523,EGFP,0.156
T524,EGFP,0.458
T525,EGFP,0.305
T526,EGFP,0.362
T527,EGFP,0.621
T528,EGFP,0.545
T529,EGFP,0.569
T530,EGFP,0.564
T531,EGFP,0.512
T532,EGFP,0.499
T533,EGFP,0.646
T534,EGFP,0.344
T535,EGFP,0.323
T536,EGFP,0.741
T537,EGFP,0.387
T538,EGFP,0.587
T539,EGFP,0.782
T540,EGFP,0.575
T541,EGFP,0.778
T542,EGFP,0.792
T543,EGFP,0.526
T544,EGFP,0.467
T545,EGFP,0.376
T546,EGFP,0.531
T547,EGFP,0.646
T548,EGFP,0.559
T549,EGFP,0.378
T550,EGFP,0.305
T551,EGFP,0.288
T552,EGFP,0.294
T553,EGFP,0.531
T554,EGFP,0.566
T555,EGFP,0.338
T556,EGFP,0.185
T557,EGFP,0.208
T558,EGFP,0.194
T559,EGFP,0.363
T560,EGFP,0.175
T561,EGFP,0.128
T562,EGFP,0.038
T563,EGFP,0.102
T564,EGFP,0.334
T565,EGFP,0.357
T566,EGFP,0.285
T567,EGFP,0.351
T568,EGFP,0.189
T569,EGFP,0.42
T570,EGFP,0.404
T571,EGFP,0.265
T572,EGFP,0.196
T573,EGFP,0.14
T574,EGFP,0.211
T575,EGFP,0.365
T576,EGFP,0.483
T577,EGFP,0.385
T578,EGFP,0.772
T579,EGFP,0.799
T580,EGFP,0.625
T581,EGFP,0.868
T582,EGFP,0.729
T583,EGFP,0.542
T584,EGFP,0.567
T585,EGFP,0.504
T586,EGFP,0.513
T587,EGFP,0.61
T588,EGFP,0.527
T589,EGFP,0.819
T590,EGFP,0.904
T591,EGFP,0.462
T592,EGFP,0.524
T593,EGFP,0.629
T594,EGFP,0.406
T595,EGFP,0.796
T596,EGFP,0.98
T597,EGFP,0.758
T598,EGFP,0.513
T599,EGFP,0.369
T600,EGFP,0.671
T601,EGFP,0.647
T602,EGFP,0.7
T603,EGFP,0.406
T604,EGFP,0.42
T605,EGFP,0.498
T606,EGFP,0.449
T607,EGFP,0.432
T608,EGFP,0.648
T609,EGFP,0.516
T610,EGFP,0.518
T611,EGFP,0.341
T612,EGFP,0.738
T613,EGFP,0.778
T614,EGFP,0.839
T615,EGFP,0.806
T616,EGFP,0.549
T617,EGFP,0.45
T618,EGFP,0.596
T619,EGFP,0.524
T620,EGFP,0.804
T621,EGFP,0.588
T622,EGFP,0.502
T623,EGFP,0.811
T624,EGFP,0.796
T625,EGFP,0.824
T626,EGFP,0.921
T627,EGFP,0.715
T628,EGFP,0.146
T629,EGFP,0.113
T630,EGFP,0.172
T631,EGFP,0.318
T632,EGFP,0.846
T633,EGFP,0.846
T634,EGFP,0.744
T635,EGFP,0.839
T636,EGFP,0.787
T637,EGFP,0.777
T638,EGFP,0.832
T639,EGFP,0.826
T640,EGFP,0.588
T641,EGFP,0.476
T642,EGFP,0.611
T643,EGFP,0.433
T644,EGFP,0.617
T645,EGFP,0.474
T646,EGFP,0.291
T647,EGFP,0.387
T648,EGFP,0.505
T649,EGFP,0.629
T650,EGFP,0.765
T651,EGFP,0.362
T652,EGFP,0.788
T653,EGFP,0.564
T654,EGFP,0.719
T655,EGFP,0.308
T656,EGFP,0.862
T657,EGFP,0.745
T658,EGFP,0.441
T659,EGFP,0.852
T660,EGFP,0.527
T661,EGFP,0.757
T662,EGFP,0.369
T663,EGFP,0.309
T664,EGFP,0.398
T665,EGFP,0.329
T666,EGFP,0.401
T667,EGFP,0.283
T668,EGFP,0.3
T669,EGFP,0.335
T670,EGFP,0.291
T671,EGFP,0.347
T672,EGFP,0.253
T673,EGFP,0.696
T674,EGFP,0.144
T675,EGFP,0.305
T676,EGFP,0.576
T677,EGFP,0.269
T678,EGFP,0.326
T679,EGFP,0.474
T680,EGFP,0.297
T681,EGFP,0.315
T682,EGFP,0.154
T683,EGFP,0.251
T684,EGFP,0.318
T685,EGFP,0.244
T686,EGFP,0.628
T687,EGFP,0.261
T688,EGFP,0.219
T689,EGFP,0.114
T690,EGFP,0.251
T691,EGFP,0.091
T692,EGFP,0.604
T693,EGFP,0.831
T694,EGFP,0.334
T695,EGFP,0.668
T696,EGFP,0.568
T697,EGFP,0.737
T698,EGFP,0.767
T699,EGFP,0.535
T700,EGFP,0.684
T701,EGFP,0.829
T702,EGFP,0.835
